Date,Price,Open,High,Low,Vol.,Change %
09-09-2014,"17,013.87","17,110.39","17,111.55","16,993.29",69.03M,-0.57%
08-09-2014,"17,111.42","17,131.71","17,137.88","17,079.17",65.64M,-0.15%
05-09-2014,"17,137.36","17,065.89","17,137.36","17,009.62",76.63M,0.40%
04-09-2014,"17,069.58","17,083.61","17,161.55","17,030.12",68.12M,-0.05%
03-09-2014,"17,078.28","17,067.24","17,151.89","17,060.21",62.77M,0.06%
02-09-2014,"17,067.56","17,097.42","17,113.51","17,009.07",64.82M,-0.18%
29-08-2014,"17,098.45","17,083.42","17,110.42","17,035.38",81.50M,0.11%
28-08-2014,"17,079.57","17,119.06","17,119.06","17,018.33",51.86M,-0.25%
27-08-2014,"17,122.01","17,111.03","17,134.60","17,090.61",61.69M,0.09%
26-08-2014,"17,106.70","17,079.57","17,153.80","17,079.57",50.71M,0.17%
25-08-2014,"17,076.87","17,011.81","17,124.74","17,011.81",57.40M,0.44%
22-08-2014,"17,001.22","17,038.27","17,064.28","16,984.52",64.33M,-0.22%
21-08-2014,"17,039.49","16,983.88","17,074.59","16,983.88",65.16M,0.36%
20-08-2014,"16,979.13","16,910.03","16,994.89","16,896.55",61.96M,0.35%
19-08-2014,"16,919.59","16,839.06","16,929.13","16,839.06",67.22M,0.48%
18-08-2014,"16,838.74","16,664.45","16,840.28","16,664.45",75.67M,1.06%
15-08-2014,"16,662.91","16,717.01","16,775.27","16,575.42",109.18M,-0.30%
14-08-2014,"16,713.58","16,657.32","16,714.22","16,651.67",62.37M,0.37%
13-08-2014,"16,651.80","16,567.54","16,670.29","16,567.54",66.02M,0.55%
12-08-2014,"16,560.54","16,565.55","16,589.31","16,518.06",62.77M,-0.06%
11-08-2014,"16,569.98","16,557.27","16,627.99","16,557.27",65.56M,0.10%
08-08-2014,"16,553.93","16,369.68","16,556.59","16,364.22",82.42M,1.13%
07-08-2014,"16,368.27","16,448.29","16,504.35","16,333.78",80.43M,-0.46%
06-08-2014,"16,443.34","16,425.10","16,490.70","16,372.32",78.60M,0.08%
05-08-2014,"16,429.47","16,559.97","16,559.97","16,369.55",76.63M,-0.84%
04-08-2014,"16,569.28","16,493.72","16,596.22","16,447.20",76.26M,0.46%
01-08-2014,"16,493.37","16,561.70","16,584.75","16,437.07",84.86M,-0.42%
31-07-2014,"16,563.30","16,869.63","16,869.63","16,563.30",101.67M,-1.88%
30-07-2014,"16,880.36","16,920.11","16,983.94","16,817.16",77.75M,-0.19%
29-07-2014,"16,912.11","16,984.33","17,056.46","16,912.11",75.98M,-0.42%
28-07-2014,"16,982.59","16,956.91","17,001.38","16,877.72",66.19M,0.13%
25-07-2014,"16,960.57","17,079.50","17,082.33","16,915.65",67.29M,-0.72%
24-07-2014,"17,083.80","17,092.02","17,119.83","17,061.07",66.39M,-0.02%
23-07-2014,"17,086.63","17,117.01","17,121.05","17,058.05",73.44M,-0.16%
22-07-2014,"17,113.54","17,054.97","17,133.43","17,040.13",77.96M,0.36%
21-07-2014,"17,051.73","17,095.11","17,095.11","16,974.34",67.59M,-0.28%
18-07-2014,"17,100.18","16,978.16","17,113.51","16,977.52",112.53M,0.73%
17-07-2014,"16,976.81","17,133.45","17,151.56","16,966.19",99.24M,-0.94%
16-07-2014,"17,138.20","17,061.91","17,139.35","17,061.91",111.50M,0.45%
15-07-2014,"17,060.68","17,055.03","17,120.34","17,006.39",101.73M,0.03%
14-07-2014,"17,055.42","16,950.93","17,088.43","16,950.93",60.57M,0.66%
